Typ;Name;Satz;Land;Kapazität;Skills
Mensch;Projektleiter;95;DE;120;Projektsteuerung, Angebot, Stakeholder, Budget
Mensch;Systemingenieur / Robotik-Architekt;110;DE;100;Systemarchitektur, Anforderungen, ROS2, Integration
Mensch;Konstrukteur Mechanik (CAD);85;DE;320;CAD, Chassis, Greifer, Mechanik, Toleranzen
Mensch;Berechnungsingenieur (FEM);90;DE;120;FEM, Festigkeit, Antriebsauslegung, Statik
Mensch;Elektronikentwickler (PCB);90;DE;200;Schaltung, Leistungselektronik, EMV, PCB-Layout
Mensch;Embedded-Softwareentwickler;95;DE;260;C/C++, ROS2, Motorsteuerung, Echtzeit
Mensch;KI- / Computer-Vision-Ingenieur;100;PL;180;Objekterkennung, Deep Learning, Müllklassifikation, Python
Mensch;Navigations- / SLAM-Ingenieur;100;DE;160;SLAM, Pfadplanung, LiDAR, Lokalisierung
Mensch;App- / Cloud-Entwickler;85;PL;200;Flottenmanagement, App, Backend, Konnektivität
Mensch;Sicherheitsingenieur (Functional Safety);105;DE;60;Risikoanalyse, Maschinenrichtlinie, Not-Halt, ISO 13849
Mensch;Testingenieur;80;DE;180;Feldtest, Inbetriebnahme, Validierung, Messtechnik
Mensch;Prototypenbau / Werkstatt;70;DE;240;Fertigung, Montage, Verkabelung, Prototyp
Mensch;Zulassungspartner CE (extern);120;DE;40;CE, Konformität, Prüfung, Dokumentation
Hardware;Roboter-Prototyp & Sensorik-Kit (LiDAR/Kamera);35000;DE;0;Prototyp, Sensorik, Akku, Antrieb
Software;ROS2 / Simulations-Stack (Open Source);0;-;0;ROS2, Gazebo, Simulation, MIT/BSD
